,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation
28856,169134,smollm3-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Muciri umwe ndagambaga,One judge alone decides nothing.,leteral_translate,muc-iri umwe ndagambag-a,Luc,shin one not speaking
34019,201487,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Itheru ritirutagirwo mugui,One should not draw an arrow in jest.,leteral_translate,ither-u ritirutagirwo mugu-i,Luc,sacred not published dog
8616,53221,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,Kuhika ni kuna,Hurrying is breaking.,leteral_translate,kuh-ika ni kuna,Luc,to enter liver who
30987,183363,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Kurita ni kuru,Being foolish is bad.,leteral_translate,kurita ni kur-u,Luc,call liver old
36365,214830,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Mugunda uraga na rutere,A field becomes wild from one side.,leteral_translate,mug-und-a ur-aga na rut-er-e,Luc,plot of ground kill sing rally
25552,148533,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Marakara ti gitei,Anger is pride.,leteral_translate,marakar-a ti gite-i,Luc,anger tree what
34033,201501,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kahii kogi ta ithe kabaritaga ta migwi,A clever son knows his father’s arrows.,leteral_translate,ka-hi-i kogi ta ith-e kabarit-ag-a ta migw-i,Luc,boy river call leave health care arrows
20775,118665,gemini3-flasth-gen-eng-literal-Tanzania,gikuyu,bantu,Murimu wa mucoka niguo uragaga mundu,A returning illness kills.,leteral_translate,mu-rim-u wa mu-cok-a nigu-o uragag-a mund-u,Luc,worker of return community to read person
1021,7590,qwen3-4b-gen_eng_literal-Kenya,gikuyu,bantu,Ikururio ti noru,A ram that is paraded does not grow fat.,leteral_translate,ikururio ti no-ru,Luc,discussed tree trunk fat
20554,118444,gemini3-flasth-gen-eng-literal-Tanzania,gikuyu,bantu,Kuria muno ni kuoria nda,Eating too much spoils the belly.,leteral_translate,ku-ri-a mun-o ni ku-oria nda,Luc,milk brown to ask stomach
36312,214777,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Mburi na kaana itirumagwo,Goat and child are not insulted.,leteral_translate,mb-ur-i na ka-ana itirumagwo,Luc,goat sing young child not to be eaten
36111,214576,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Ihii na igwa ikuragira uthu-ini,Boys and sugar-cane grow up as enemies.,leteral_translate,i-hi-i na ig-wa ikuragir-a uth-u ini,Luc,first instead of horn to feed childhood
28949,169227,smollm3-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Munyaka uri mbere ya kahinga,Fortune lies beyond the bush.,leteral_translate,muny-ak-a uri mb-ere ya ka-hinga,Luc,the year how continue steal obstruct
8343,52948,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,Cira wa mucii ndumagirio kiharo,Home cases are not handled in the public square.,leteral_translate,cira wa muci-i ndumagirio ki-haro,Luc,judgement of home darkness heritage
25473,148454,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Kiringiri gia aka ni rwenji rukirega,Forcing a woman is like shaving with a blunt razor.,leteral_translate,kiringir-i gia aka ni rwenj-i rukireg-a,Luc,english other construct liver razor refuse
34038,201506,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kaihu koruri gatigaga kwao gugithinjwo,A wandering polecat leaves home during the feast.,leteral_translate,kai-hu korur-i gatigag-a kwa-o gugithinjwo,Luc,high offspring out of print home thier own home
23115,132500,gemma3-4b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kigina gitininukagio irio hande itari nguru,Stored seed is not eaten until crops fail.,leteral_translate,kig-in-a gitininukagio iri-o hand-e it-ar-i nguru,Luc,home not to be destroyed food plant number old
25688,148669,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Mundu mugo nderaguragira,The witch-doctor cannot cure himself.,leteral_translate,mund-u mug-o nderaguragir-a,Luc,person tree ___.pres.prog.1.sg
22941,132326,gemma3-4b-it-gen-eng-literal-Kenya,gikuyu,bantu,Guthii kuonagia mundu njira.,Travelling shows a person the way.,leteral_translate,guthi-i ku-onagi-a mund-u nj-ira,Luc,speak show people highway
8420,53025,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,"Gutiri mundu wonaga wega wake, no kuonwo wonagwo",No one sees his own goodness; others do.,leteral_translate,gut-iri mund-u wonag-a wega wak-e no ku-on-wo wonag-wo,Luc,electric people you see his but been reported
36270,214735,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Kwigita ti guoya,Preparation is not fear.,leteral_translate,kwigit-a ti guoya,,
5501,35012,smollm3-3b-gen_eng_literal-Kenya,gikuyu,bantu,"Ciunagwo rukomo, kimenyi akamenya ikiunwo",We speak in proverbs; the intelligent understand.,leteral_translate,ciunagwo rukomo kimeny-i akameny-a ikiunwo,,
40901,242611,qwen3-4b-gen-eng-literal-Kenya,gikuyu,bantu,Matari maku mahitukaga ugikunja ituma,Others’ water flows away while you fold the leaf-cup.,leteral_translate,matari ma-ku mahitukag-a ugikunj-a it-uma,,
