Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass,Correction,Correction 2,Correction 3,
28856,169134,smollm3-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Muciri umwe ndagambaga,One judge alone decides nothing.,leteral_translate,muc-iri umwe ndagambag-a,Luc,shin one not speaking,shin one not speaking,One judge does not make a sound.,,,
34019,201487,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Itheru ritirutagirwo mugui,One should not draw an arrow in jest.,leteral_translate,ither-u ritirutagirwo mugu-i,Luc,sacred not published dog,sacred not has been published. dog,Joking is not something you shoot with an arrow,,,
8616,53221,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,Kuhika ni kuna,Hurrying is breaking.,leteral_translate,kuh-ika ni kuna,Luc,to enter liver who,to enter liver who,To marry is not to sever ties.,,,
30987,183363,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Kurita ni kuru,Being foolish is bad.,leteral_translate,kurita ni kur-u,Luc,call liver old,call liver old,foolishness is bad,,,
36365,214830,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Mugunda uraga na rutere,A field becomes wild from one side.,leteral_translate,mug-und-a ur-aga na rut-er-e,Luc,plot of ground kill sing rally,plot of ground kill sing rally,A farm gets smaller from the edges,,,
25552,148533,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Marakara ti gitei,Anger is pride.,leteral_translate,marakar-a ti gite-i,Luc,anger tree what,anger tree what,“Getting into a rage does not mean being proud.”,“Being angry does not mean you are arrogant.”,,
34033,201501,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kahii kogi ta ithe kabaritaga ta migwi,A clever son knows his father’s arrows.,leteral_translate,ka-hi-i kogi ta ith-e kabarit-ag-a ta migw-i,Luc,boy river call leave health care arrows,boy river call leave health care arrows,A clever son like his father knows his arrows like his father does,,,
20775,118665,gemini3-flasth-gen-eng-literal-Tanzania,gikuyu,bantu,Murimu wa mucoka niguo uragaga mundu,A returning illness kills.,leteral_translate,mu-rim-u wa mu-cok-a nigu-o uragag-a mund-u,Luc,worker of return community to read person,worker of return community to read person,A recurring illness is the one that kills a person,What keeps coming back can eventually destroy you.,,
1021,7590,qwen3-4b-gen_eng_literal-Kenya,gikuyu,bantu,Ikururio ti noru,A ram that is paraded does not grow fat.,leteral_translate,ikururio ti no-ru,Luc,discussed tree trunk fat,It was discussed. tree trunk fat,The ram that is paraded or shown around is not fat,,,
20554,118444,gemini3-flasth-gen-eng-literal-Tanzania,gikuyu,bantu,Kuria muno ni kuoria nda,Eating too much spoils the belly.,leteral_translate,ku-ri-a mun-o ni ku-oria nda,Luc,milk brown to ask stomach,milk brown to ask stomach,Eating too much is to spoil the stomach.,Too much eating harms the stomach.”,Too much of a good thing is bad.,
36312,214777,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Mburi na kaana itirumagwo,Goat and child are not insulted.,leteral_translate,mb-ur-i na ka-ana itirumagwo,Luc,goat sing young child not to be eaten,goat sing young child not to be eaten,A goat and its kid are not insulted.,,,
36111,214576,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Ihii na igwa ikuragira uthu-ini,Boys and sugar-cane grow up as enemies.,leteral_translate,i-hi-i na ig-wa ikuragir-a uth-u ini,Luc,first instead of horn to feed childhood,first instead of horn to feed childhood,Boys and sugarcane grow in enemy territory.”,A natural English rendering could be:,“Good things can grow even in hostile ground.”,"“Even in enemy territory, boys and sugarcane can thrive.”"
28949,169227,smollm3-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Munyaka uri mbere ya kahinga,Fortune lies beyond the bush.,leteral_translate,muny-ak-a uri mb-ere ya ka-hinga,Luc,the year how continue steal obstruct,the year how continue steal obstruct,Good luck is ahead of the shrub.”,“Good luck is just around the corner.”,“Fortune lies beyond the obstacle.”,
8343,52948,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,Cira wa mucii ndumagirio kiharo,Home cases are not handled in the public square.,leteral_translate,cira wa muci-i ndumagirio ki-haro,Luc,judgement of home darkness heritage,The judgement of home darkness heritage,A family matter is not [something] discussed in the field,,,
25473,148454,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Kiringiri gia aka ni rwenji rukirega,Forcing a woman is like shaving with a blunt razor.,leteral_translate,kiringir-i gia aka ni rwenj-i rukireg-a,Luc,english other construct liver razor refuse,in English. other construct liver razor refuse,To urge a woman to do what she does not like is like trying to shave with a blunt knife.,,,
34038,201506,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kaihu koruri gatigaga kwao gugithinjwo,A wandering polecat leaves home during the feast.,leteral_translate,kai-hu korur-i gatigag-a kwa-o gugithinjwo,Luc,high offspring out of print home thier own home,high offspring out of print home It's a thief own home,The loitering animal leaves its home while the family is slaughtering,,,
23115,132500,gemma3-4b-it-gen-eng-literal-Kenya,gikuyu,bantu,Kigina gitininukagio irio hande itari nguru,Stored seed is not eaten until crops fail.,leteral_translate,kig-in-a gitininukagio iri-o hand-e it-ar-i nguru,Luc,home not to be destroyed food plant number old,home not to be It was destroyed. food plant number old,Property is not subdivided  before what is planted has matured.,,,
25688,148669,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Mundu mugo nderaguragira,The witch-doctor cannot cure himself.,leteral_translate,mund-u mug-o nderaguragir-a,Luc,person tree ___.pres.prog.1.sg,person tree a,A witch doctor cannot perform his practices on himself,,,
22941,132326,gemma3-4b-it-gen-eng-literal-Kenya,gikuyu,bantu,Guthii kuonagia mundu njira.,Travelling shows a person the way.,leteral_translate,guthi-i ku-onagi-a mund-u nj-ira,Luc,speak show people highway,speak show people highway,Going shows a person the way.,Experience teaches you the way,,
8420,53025,llama3.2-3b-gen_eng_literal-Kenya,gikuyu,bantu,"Gutiri mundu wonaga wega wake, no kuonwo wonagwo",No one sees his own goodness; others do.,leteral_translate,gut-iri mund-u wonag-a wega wak-e no ku-on-wo wonag-wo,Luc,electric people you see his but been reported,electric people you see his but been It was reported,No person sees their own goodness; it is seen by others.,,,
36270,214735,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Kwigita ti guoya,Preparation is not fear.,leteral_translate,kwigit-a ti guoya,Basirat,Preparation is not fear.,Preparation is not fear.,Defending yourself is not cowardice.”,Self-defense is not cowardice,,
5501,35012,smollm3-3b-gen_eng_literal-Kenya,gikuyu,bantu,"Ciunagwo rukomo, kimenyi akamenya ikiunwo",We speak in proverbs; the intelligent understand.,leteral_translate,ciunagwo rukomo kimeny-i akameny-a ikiunwo,Basirat,We speak in proverbs; the intelligent understand.,We speak in proverbs; the intelligent understand.,,,,
40901,242611,qwen3-4b-gen-eng-literal-Kenya,gikuyu,bantu,Matari maku mahitukaga ugikunja ituma,Others’ water flows away while you fold the leaf-cup.,leteral_translate,matari ma-ku mahitukag-a ugikunj-a it-uma,Basirat,Others’ water flows away while you fold the leaf-cup.,Others’ water flows away while you fold the leaf-cup.,,,,
30943,183319,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Kiruka gia kimbu gitithiragwo ni mung’ung’utu,Every chameleon has a protruding backbone.,leteral_translate,ki-ruk-a gia kimb-u gitithirag-wo ni mung ung utu,Basirat,Every chameleon has a protruding backbone.,Every chameleon has a protruding backbone.,The chameleon does not lose/change its form,,,
5782,35293,smollm3-3b-gen_eng_literal-Kenya,gikuyu,bantu,Kumenya muno ni kumenyuka,Knowing too much is ignorance.,leteral_translate,kumeny-a mun-o ni kumenyuk-a,Basirat,Knowing too much is ignorance.,Knowing too much is ignorance.,Too much knowledge can expose you,,,
31162,183538,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Mundu muigwa ni muhootani,The obedient man gets through.,leteral_translate,mund-u mu-ig-wa ni muhootan-i,Basirat,The obedient man gets through.,The obedient man gets through.,An obedient person is a winner.,,,
4716,29980,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Gutiri mundu ui haria eguthii no haria ekuuma,"No one knows where he goes, only where he comes from.",leteral_translate,gut-iri mund-u ui ha-ria eguthi-i no ha-ria ekuum-a,Basirat,"No one knows where he goes, only where he comes from.","No one knows where he goes, only where he comes from.",No one knows where they are going; they only know where they have come from.,,,
1233,7802,qwen3-4b-gen_eng_literal-Kenya,gikuyu,bantu,Matumbi ma njamba matituranaga,Male eggs do not hatch each other.,leteral_translate,matumb-i ma nj-amb-a matituranag-a,Basirat,Male eggs do not hatch each other.,Male eggs do not hatch each other.,Two authorities cannot comfortably occupy the same space,,,
4700,29964,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Guthii kuonagia mundu njira.,Travelling shows a person the way.,leteral_translate,guthi-i ku-onagi-a mund-u nj-ira,Basirat,Travelling shows a person the way.,Travelling shows a person the way.,Going shows a person the way.,Experience teaches you the way,,
4723,29987,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Gutiri mwana ungitema agitemera ithe,A son does not cut his finger cutting meat for his father.,leteral_translate,gut-iri mw-an-a ungitem-a agitemer-a ith-e,Basirat,A son does not cut his finger cutting meat for his father.,A son does not cut his finger cutting meat for his father.,No child cuts himself while cutting for his father.,,,
25534,148515,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Kwigita ti guoya,Preparation is not fear.,leteral_translate,kwigit-a ti guoya,Basirat,Preparation is not fear.,Preparation is not fear.,Preparing yourself is not cowardice.,,,
36129,214594,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Ithaga riene rinogagia ngingo,Borrowed ornaments tire the neck.,leteral_translate,ith-ag-a ri-en-e rinogagi-a ngingo,Basirat,Borrowed ornaments tire the neck.,Borrowed ornaments tire the neck.,Someone else’s ornament tires the neck.,,,
