Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass
14151,84631,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Omuntu wobusingye niwe mukozi wobusingye omukayeye,A peaceful person is a peacemaker in his home,leteral_translate,omuntu wobusingy-e ni-we mukoz-i wobusingy-e omukayey-e,Luc,the person ___.sg.n1 their ___.sg.n1 ___.sg.n1 ___.sg.n1,the person Ensya is the name of the game. their This is what it's all about. I'm going to try and make it work. This is what it's all about.
15975,95804,kimi-k2-gen-eng-literal-Ethiopia,chiga,bantu,Mikuruga omuka akaza omundijo nibamushuka ebyizi bigubire,The fool concealed that was to eat him latter,leteral_translate,mikurug-a omuk-a aka-za omundijo nibamushuk-a ebyiz-i bigubir-e,Luc,___.pl.n4 at home ___.pst.rem.3.sg ___.prs.hab.1.sg water ___.pst.rec.3.pl,bad  bad at home Akash was born in Akash. and height. water It's a lot of fun.
2845,18039,gemma3-4b-it-gen_eng_literal-Uganda,chiga,bantu,Abariho nibo babarwa,Those who are present are the one who are counted.,leteral_translate,abariho nib-o babarw-a,Luc,thirst ___.sg.n9 beer,thirst name  name beer
38266,228608,minmax-gen-eng-literal-Uganda,chiga,bantu,Burimuntu nayegura omugamba gwe,Each person bears his own burden,leteral_translate,burimunt-u nayegur-a omug-amb-a gwe,Luc,each person ___.pst.rec.1.sg yoke its,each person It's my mother. yoke its
15994,95823,kimi-k2-gen-eng-literal-Ethiopia,chiga,bantu,Omuntu nabanza yakwetegyereza atakakwetsire kumutayayira,A person will always observe you before he invites you,leteral_translate,omuntu nabanz-a yakwetegyerez-a atakakwetsir-e kumutayayir-a,Luc,the person keeps on building ___.prs.rec.3.sg __.fut.3.sg ___.nfin,the person keeps on building They're the ones who do it.  he will sanctify. It's a bit of a struggle.
6595,40530,smollm3-3b-gen_eng_literal-Uganda,chiga,bantu,Okunya aha muhanda nabasa kurahuka kwebwa kwonka okuribaata omumazi we takayebwa,The person who excrete may sooner or later forget but not the one who steps on the faeces,leteral_translate,okunya aha mu-hand-a nabas-a kurahuk-a kw-ebw-a kwonk-a okuribaat-a omumaz-i we takayebw-a,Luc,that very here the path __.prs.prog.3.sg ___.nfin forgets only ___.nfin ___.sg.n1 self faces,that very here the path Arikubasa is one of them. kuba  Forgets only kuba This is what it's all about. self faces faces
38292,228634,minmax-gen-eng-literal-Uganda,chiga,bantu,Owokurya naawe niwe arikukwita,The one you eat with is the one who kills you,leteral_translate,owokury-a na-awe ni-we arikukwit-a,Luc,___.sg.n1 ___.pro.int.intens selfs guess,It's a bad thing. Angels are in charge. even even guess
35584,211330,llama3.2-3b-it-gen-eng-literal-Uganda,chiga,bantu,Omuchezi takagaruka omuka nengaro nsha,The early person does not come home empty-handed,leteral_translate,omuchez-i takagaruk-a omuk-a nengaro nsh-a,Luc,the rat returned ___.sg.n9 ___.sg.n9,the rat returned It's not just me. It's not just me.
30236,178592,smollm3-3b-it-gen-eng-literal-Uganda,chiga,bantu,Okukora hamwe nibwo burugo bwa amani,Working together is the source of strength,leteral_translate,o-ku-kor-a hamw-e nib-wo burugo bwa aman-i,Luc,do work ___ self ___.sg.n14 dog great,do work ge self to get rid of them. dog great
10593,64371,llama3.2-3b-gen_eng_literal-Uganda,chiga,bantu,Okukurisa naba nakutegyeka,He who feeds you controls you,leteral_translate,o-kukuris-a naba nakutegyek-a,Luc,___.nfin become ___.pst.rec.1.sg,kuba become It's my mother.
30178,178534,smollm3-3b-it-gen-eng-literal-Uganda,chiga,bantu,Otaribara enkojo zaawe otakafiire,Do not count you scars before you die,leteral_translate,otaribar-a enkojo zaa-we otakafiir-e,Luc,___.prs.hab.2.sg scar its ___.fut.2.sg, wenjaara scar its  otakafiire
1728,12328,qwen3-4b-gen_eng_literal-Uganda,chiga,bantu,Ente ekurebwa nezara akachwamutwe kakurebwa,A spotted cow gives birth to a spotted calf,leteral_translate,ente e-kurebw-a ne-zar-a akachwamutw-e ka-kurebw-a,Luc,cow ___.pst.rem.3.sg give birth ___.pst.rem.3.sg ___.pst.rec.3.sg,cow Akash was born in Akash. give birth the ekaruma. Ariiwe was born.
14145,84625,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Omuzeyi nakwata omwana wemichwe mibi baba nibarya,The old man catches the naughty child during meal time,leteral_translate,omuzey-i na-kwat-a omw-an-a wemichw-e mib-i baba nibary-a,Luc,___.pl.n1 spilled child ___.pl.pssn1 ___.pl.n4 father eat, yamzi spilled spilled child They're the ones who do it. micwe  micwe father eat
35559,211305,llama3.2-3b-it-gen-eng-literal-Uganda,chiga,bantu,Omukazi omuyombi tashemereire kuba nyoko,A quarrelsome woman should not happen to be your mother,leteral_translate,omu-ka-zi omu-yomb-i tashemereir-e kuba ny-oko,Luc,the women both ___.pst.rec.1.pl ___.nfin your mother,the women women both It's not necessary. kuba your mother
31604,186808,grok-4.1-fast-gen-eng-literal-Uganda,chiga,bantu,Rufu tekwizira omuntu omwe,Death does not come only to one person,leteral_translate,ruf-u tekwizir-a omuntu omw-e,Luc,death ___.prs person one,death elsewhere. person one
16044,95873,kimi-k2-gen-eng-literal-Ethiopia,chiga,bantu,Tura owomuntu okusingaho kutura omwitagyi ryekiti,Take shelter in a person rather than in a tree branch,leteral_translate,tur-a owomunt-u o-kusingaho kutur-a omwitagy-i ryekit-i,Luc,___.pl.n9 person overcome ___.nfin ___.sg.n1 stick,Nakura was born. person overcome kuba This is what it's all about. stick
17618,102794,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Ente ekurebwa nezara akachwamutwe kakurebwa,A spotted cow gives birth to a spotted calf,leteral_translate,ente e-kurebw-a ne-zar-a akachwamutw-e ka-kurebw-a,Luc,cow ___.nfin give birth ___.pst.rem.3.sg ___.pst.rec.3.sg,cow Akash was born in Akash. give birth the ekaruma. Ariiwe was born.
40143,240334,qwen3-4b-gen-eng-literal-Uganda,chiga,bantu,Burimuntu nayegura omugamba gwe,Each person bears his own burden,leteral_translate,burimunt-u nayegur-a omug-amb-a gwe,Luc,___.people ___.pst.rec.1.sg yoke leopard,each person It's my mother. yoke its
40135,240326,qwen3-4b-gen-eng-literal-Uganda,chiga,bantu,Abanyabwengye babiri nibabasa kwotsya eshohora,Two geniuses will successful roast a fly,leteral_translate,abanyabwengy-e babiri nibabas-a kwotsy-a eshohor-a,Luc,clever people two ___.prs.hab.1.sg ___.prs.hab.3.sg go away,clever people two and height. Ayamara is in charge. go away
2933,18127,gemma3-4b-it-gen_eng_literal-Uganda,chiga,bantu,Oburwire bwondijo muntu tibukakuzibira kubyama,Someone’s illness does not prevent you from sleeping,leteral_translate,oburwir-e bwondijo muntu tibukakuzibir-a kubyam-a,Luc,___.sg.n14 ___.prs.hab.3.sg ___.sg.n1 obstructings lie down,It's been a long time coming. China's foreign policy.  of man.  obstructions lie down
10624,64402,llama3.2-3b-gen_eng_literal-Uganda,chiga,bantu,Omuyembe tigukagwa haare nekiti kyagwe,The mango does not fall far from the tree,leteral_translate,omuyemb-e tigukagw-a ha-ar-e nekit-i kyagw-e,,,
24695,144156,gemma3-4b-it-gen-eng-literal-Uganda,chiga,bantu,Ekyibakugurize nibabasa kukyikwaka kandi okyakyenda,What is loaned to you can be taken from you even when you still need it,leteral_translate,ekyibakuguriz-e nibabas-a kukyikwak-a kandi okyakyend-a,,,
12455,77788,kimi-k2-gen-eng-literal-Ethiopia,chiga,bantu,Okwenda kuziina nabanza yatera engoma,He who wants to dance must starts beating the drums,leteral_translate,okw-end-a kuziin-a nabanz-a yat-era engom-a,,,
14105,84585,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Omwana nakura omumuringo gubamukuzamu,The child grows up in the way he is brought up,leteral_translate,omw-an-a nak-ur-a omumuringo gubamukuzam-u,,,
30224,178580,smollm3-3b-it-gen-eng-literal-Uganda,chiga,bantu,Omutabani nabonabona ahabwebibi byishewe,The son suffers because of his father’s sins,leteral_translate,omutaban-i nabonabon-a ahabwebib-i byishew-e,,,
24712,144173,gemma3-4b-it-gen-eng-literal-Uganda,chiga,bantu,Owokurya naawe niwe arikukwita,The one you eat with is the one who kills you,leteral_translate,owokury-a na-awe ni-we arikukwit-a,,,
17661,102837,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Okukurisa naba nakutegyeka,He who feeds you controls you,leteral_translate,o-kukuris-a naba nakutegyek-a,,,
10545,64323,llama3.2-3b-gen_eng_literal-Uganda,chiga,bantu,Amihande ebiri ekabuzabuza empisi,Shyness made the hare to die in its den,leteral_translate,amihand-e ebir-i ekabuzabuz-a empis-i,,,
6635,40570,smollm3-3b-gen_eng_literal-Uganda,chiga,bantu,"Omutego gwomuzeyi, nigutegwa omurundi gumwe",The old man’s trap is only triggered once,leteral_translate,omuteg-o gwomuzey-i nigutegw-a omurund-i gumwe,,,
6551,40486,smollm3-3b-gen_eng_literal-Uganda,chiga,bantu,Amuntu wekitinisa kwakushisha omwoya nibagira ngu abagubiire nibo bagushisha,Too much advice led to the escape of the ant-bears from Ogema’s snare,leteral_translate,amunt-u wekitinis-a kwakushish-a omwo-ya nib-agir-a ngu abagubiir-e nib-o bagushish-a,,,
38319,228661,minmax-gen-eng-literal-Uganda,chiga,bantu,Omukazi ayamara kuzara tashemereire kukwata enyungu yibakutekyeramu,A woman who has just given birth should not touch the cooking pot,leteral_translate,omu-ka-zi ayamar-a ku-zar-a tashemereir-e ku-kwat-a enyung-u yibakutekyeram-u,,,
6604,40539,smollm3-3b-gen_eng_literal-Uganda,chiga,bantu,Okukuraganisa ekyihuro kyihango nabasa kukwisa enjara,He who promises you bigger share may starve you to death,leteral_translate,okukuraganis-a ekyihuro kyihango nabas-a kukwis-a enj-ar-a,,,
10604,64382,llama3.2-3b-gen_eng_literal-Uganda,chiga,bantu,Omuti murungi nigukurira omumiti endijo,A good tree grows among others,leteral_translate,omut-i mu-rung-i nigukurir-a omum-it-i endijo,,,
30149,178505,smollm3-3b-it-gen-eng-literal-Uganda,chiga,bantu,Akenyanja kache tikakahabura ekyenyanja ekyihango,A small fish cannot advice a big one,leteral_translate,akenyanj-a ka-ch-e tikakahabur-a ekyenyanj-a ekyihango,,,
17691,102867,kimi-k2-gen-eng-literal-Uganda,chiga,bantu,Omuti ogukwera ebijuma nigwe gukurekyerwaho amabare,A Tree that bears fruits is the one stones are thrown at,leteral_translate,omut-i ogukwer-a ebijum-a nigw-e gukurekyerwaho amabar-e,,,
26044,151853,gpt-5-mini-gen-eng-literal-Uganda,chiga,bantu,Abariho nibo babarwa,Those who are present are the one who are counted.,leteral_translate,abariho nib-o babarw-a,,,
30148,178504,smollm3-3b-it-gen-eng-literal-Uganda,chiga,bantu,Abafu bonka nibo bakusingwa omurinyaruju yamateka,Only the dead are defeated in a court case,leteral_translate,abaf-u bonk-a nib-o bakusingw-a omurinyaruj-u yamatek-a,,,
26063,151872,gpt-5-mini-gen-eng-literal-Uganda,chiga,bantu,Engyesho nungyi zomutabani nizihisa ishe ekitinisa,A son’s good conduct earns his father respect and praise,leteral_translate,engyesho nungy-i zomutaban-i nizihis-a i-sh-e ekitinis-a,,,
1781,12381,qwen3-4b-gen_eng_literal-Uganda,chiga,bantu,Omuzengyerezi arikuruga omuka akaza omundijo nibamushuka ebyizi bigubire,He who roams from home to home get dirty water spattered on his face,leteral_translate,omuzengyerez-i arikurug-a omuk-a aka-za omundijo nibamushuk-a ebyiz-i bigubir-e,,,
1722,12322,qwen3-4b-gen_eng_literal-Uganda,chiga,bantu,Akukwanga nakuteka omumwanya omumwanya ogurikusingaho noguwaba oriimu,He who rejects you puts you in a better place,leteral_translate,akukwang-a nakutek-a omumwany-a omumwany-a ogurikusingaho noguwab-a oriim-u,,,
