Surface Word,Ganda Lemma,English translation,Glossing,Match Type
mu,okussa omukka,breathe,nan,Substring Overlap
gandaalo,ganda,fellow-tribesman,nan,Substring Overlap
abalungi,lungi,I’m fine,abalungi,Substring Overlap
abangi,lungi,I’m fine,abangi,Substring Overlap
musajja,byʼokubajja,capentry,nan-sa-jja,Substring Overlap
Aboluganda,ganda,fellow-tribesman,aboluganda,Substring Overlap
nga,nga busasaana,dawn,nan,Substring Overlap
yanoonya,kunoonya,hand around,onya,Substring Overlap
Akaami,kwenyamira,depressed,akaami,Substring Overlap
wa,buta mwesigwa,unfaithful,nan,Substring Overlap
mugga,omugga,river,nan-gga,Substring Overlap
Akanyonyi,ekinyonyi,bird,akanyonyi,Substring Overlap
byo,butasalawo,indecisive,nan,Substring Overlap
oya,kugoya,mix,nan,Substring Overlap
ekisu,ekisumuluzo,key,ekisu,Substring Overlap
liiso,liiso,eye,nan,PanLex Exact Match
Alaba,tetugalaba,I’m fine,laba,Substring Overlap
ekilungi,lungi,I’m fine,ekilungi,Substring Overlap
Amaka,amaka,family,amaka,PanLex Exact Match
muchaara,faranga ey’egini,Guinean Syli,nan-chaara,Substring Overlap
Akwaagala,kwagala okumanya,curious,agala,Substring Overlap
Akwaagula,ggula,open a door,nan-kwaagula,Substring Overlap
no,kunoga,be flavoured,nan,Substring Overlap
bwo,butasalawo,indecisive,nan,Substring Overlap
wala,wala,girl,wala,PanLex Exact Match
kibuga,obugazi,width,ki-buga,Substring Overlap
amalungi,lungi,I’m fine,amalungi,PanLex Exact Match
gakola,kukola akajanja,finicky,ga-kola,Substring Overlap
wamu,lwamukaaga,Saturday,nan,Substring Overlap
si,si,country,nan,PanLex Exact Match
Amazzi,muyizzi,hunter,amazzi,Substring Overlap
takula,amatala agokukubo,robot,takula,Substring Overlap
ekilo,ekilooto,dream,ekilo,Substring Overlap
nyina,annyina,brother,nyina,Substring Overlap
Atya,osiibe otyanno,good day,tya,Substring Overlap
enjuba,njuba,sun,enjuba,PanLex Exact Match
taliba,baketi,bucket,taliba,Substring Overlap
gombolola,ggombolola,sub-county,gombolola,Substring Overlap
Bassa,okussa omukka,breathe,bantu2,Substring Overlap
kimu,kimuli,flower,kimu,Substring Overlap
Bazaala,zaala,give birth,bantu2,PanLex Exact Match
tebazaala,zaala,give birth,tebazaala,PanLex Exact Match
Bwoba,kusooba,slow,nan,Substring Overlap
olibeera,kubeera lubuto,pregnant,beera,Substring Overlap
mulungi,lungi,I’m fine,mulungi,Substring Overlap
nelwolifa,faranga ey’egini,Guinean Syli,nelwolifa,Substring Overlap
mukulu,mukulukusa,October,mukulu,Substring Overlap
oba,kusooba,slow,nan,Substring Overlap
kya,ekyangwe,sponge,nan,Substring Overlap
enju,enjuki,bee,enju,Substring Overlap
omukka,okussa omukka,breathe,omukka,Substring Overlap
ekibya,dalasi ey’egambya,Gambian Dalasi,nan-bya,Substring Overlap
na,na,and,nan,PanLex Exact Match
muttu,wakati muttumbi,midnight,nan,Substring Overlap
kyo,butasalawo,indecisive,nan,Substring Overlap
bire,buta mwesigwa,unfaithful,bire,Substring Overlap
Endiga,endiga,sheep,endiga,PanLex Exact Match
gwa,buta mwesigwa,unfaithful,nan,Substring Overlap
mbuzi,embuzi,goat,mbuzi,Substring Overlap
Enkima,kima,monkey,enkima,PanLex Exact Match
nti,antigwa ne barabuda,Antigua & Barbuda,nan,Substring Overlap
Enkuba,enkuba,rain,enkuba,PanLex Exact Match
omu,okussa omukka,breathe,nan,Substring Overlap
zo,butasalawo,indecisive,nan,Substring Overlap
yamala,faranga ey’emalagase,Malagasy Ariary,yamala,Substring Overlap
amazzi,muyizzi,hunter,amazzi,Substring Overlap
enyumba,nyumba,house,enyumba,PanLex Exact Match
ne,ne,and,nan,PanLex Exact Match
Eyali,walisi ne futuna,Wallis & Futuna,eyali,Substring Overlap
bwalaba,tetugalaba,I’m fine,laba,Substring Overlap
era,era,and,nan,PanLex Exact Match
gwe,ekyangwe,sponge,nan,Substring Overlap
muganda,ganda,fellow-tribesman,nan-ganda,PanLex Exact Match
Kakulu,mukulukusa,October,kakulu,Substring Overlap
ta,takisi,cab,nan,Substring Overlap
kulilwa,buulila,say,lilwa,Substring Overlap
Kyenkola,kukola akajanja,finicky,enkola,Substring Overlap
mbiro,bbumbiro,potter shop,mbiro,Substring Overlap
kwotadde,ota,bask,kwotadde,PanLex Exact Match
emugga,omugga,river,emugga,Substring Overlap
