experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Mwamani najuma mama wawe niwe oriho aho,A stronger person abuses your mother in your presence.,leteral_translate,mwaman-i najum-a mama wa-we ni-we o-riho aho,Luc,The power abused your mom your presence.,The power abused abused your mom mom your  presence.
minmax-gen-eng-literal-Uganda,tooro,bantu,Namuntu wekitinisa kwakushisha omwoya nibagira ngu abagubiire nibo bagushisha,Too much advice led to the escape of the ant-bears from Ogema’s snare.,leteral_translate,namunt-u wekitinis-a kwakushish-a omwo-ya nib-agir-a ngu abagubiir-e nib-o bagushish-a,Luc,"Skins your honor __(3rd singular) feathers obstruct your __(past, reciprocal, 3rd plural) __(singular) __(present)","Skins  Skins your honor  byingi(3rd singular)  Feathers feathers obstruct your byingi(past,  reciprocal, 3rd  plural)  byingi(singular)  byingi(present)"
smollm3-3b-gen_eng_literal-Uganda,tooro,bantu,Sotakayehutzya okuhaburwa kwomwana,Do not ignore a child’s advice.,leteral_translate,sotakayehutzy-a okuhaburw-a kwomwan-a,Luc,"Usually advice, not ignore child's","Usually advice, advice, and advice. not ignore child's"
qwen3-4b-gen-eng-literal-Uganda,tooro,bantu,Banza wayeyerera enju yawe otakagyire kugamba eyabandi okweteyerire,First sweep your own house before you despise someone else’s.,leteral_translate,banza wayeyerer-a enj-u ya-we otakagyir-e kugamb-a eyaband-i okweteyerir-e,Luc,requesting swept house own before not say pl.n1.pss.n9-___ prs.hab.2.sg-___,requesting requesting swept house own before not say pl.n1.pss.n9-ge prs.hab.2.sg-ge 
gemma3-4b-it-gen_eng_literal-Uganda,tooro,bantu,Khukazi omuyombi tashemereire kuba nyoko,A quarrelsome woman should not happen to be your mother.,leteral_translate,khukaz-i omu-yomb-i tashemereir-e kuba ny-oko,Luc,___(N.SG.N1) ___(NSG.N1) becomes ____,gwe(N.SG.N1) gwe(NSG.N1) becomes gwe
kimi-k2-gen-eng-literal-Uganda,tooro,bantu,Omuti niguterezibwa gwaba gukyiri muto,A tree is straightened while it is still young.,leteral_translate,omut-i niguterezibw-a gw-ab-a gukyir-i mut-o,Luc,___ prs.___ ___.pst ___.sg.n14 ___,They're the ones who do it. prs.ze Ariiwe was born. Toys and games. They're the ones who do it.
gemma3-4b-it-gen_eng_literal-Uganda,tooro,bantu,Bintu byokubanza nibyo byomugasho munonga,The first thing is the most important.,leteral_translate,bint-u byokubanz-a nib-yo byomugasho mun-ong-a,Luc,animals/abstract it becomes  your sg.n14-___ ___.sg.n14, animals/abstract it becomes  your sg.n14-ge It's been a long time coming.
llama3.2-3b-it-gen-eng-literal-Uganda,tooro,bantu,Kikirungi kutandiika nobworo kusinga okutandika nobugiga,It is better to begin with poverty rather than riches.,leteral_translate,ki-kirung-i kutandiik-a nobworo ku-sing-a okutandik-a nobugig-a,Luc,what not start ___.sg.n1 not arguments not beginning prs.hab.1.___,what not start This is a museum. not arguments arguments not beginning  prs.hab.1.ge
llama3.2-3b-it-gen-eng-literal-Uganda,tooro,bantu,Musheija arikutunga ente emwe nakira arikugyira nti nayija kutunga eisyo rihango ryente nyingyi,A man who rears one cow is better than the one who say “I will rear a large heard”.,leteral_translate,musheij-a arikutung-a ente emwe nak-ir-a arikugyir-a nti nayij-a kutung-a eisyo rihango ryent-e nyingy-i,Luc,___.sg.n1 s/he obtains cow pro.int.intens greater prs.prog.3.sg.___ be pst.rec.1.sg-___ ___ pst.rec.3.sg-___ ___.sg.n9,It's a bad thing. s/he obtains. cow pro.int.intens greater prs.prog.3.sg.ge  be pst.rec.1.sg-ge  ge pst.rec.3.sg-ge  It's not just me.
kimi-k2-gen-eng-literal-Uganda,tooro,bantu,Mtakuha nyina ekyitinisa naba atakukyiha nanyina wondijo muntu,He who does not respect his own mother cannot respect another person’s mother.,leteral_translate,mtakuh-a ny-in-a ekyitinis-a naba atakukyih-a nanyin-a wondijo muntu,Luc,give away mother honor becomes fut-__ pst.rec.1.sg-___ their people/person,give away mother honor becomes fut-ze pst.rec.1.sg-ze  their people/person
