Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass,Correction
22192,128860,gemini3-flasth-gen-eng-literal-Uganda,ganda,bantu,"Essubi elyokya enyumba embii, iyelyokya ne nungi.",Tochi ya nyasi inayoichoma nyumba mbaya huchoma pia ile nzuri.,leteral_translate,essub-i elyoky-a enyumb-a emb-ii iyelyoky-a ne nung-i,Luc,grass roof roast house the bee burnt and good,grass roof roast house the bee burnt and good,“The thatch that burns down a bad house is the same that burns down a good house.”
16212,96141,kimi-k2-gen-eng-literal-Ethiopia,ganda,bantu,"Obulamu bulinga masanda bwoseleera, ogenda mumaaso.",Maisha imejaa maganda ya ndizi. Ukiteleza unaendelea.,leteral_translate,obulam-u bul-ing-a masand-a bwoseleer-a og-end-a mumaaso,Luc,life is like rubber when you slip go face,life is like rubber when you slip go face,"Life is like sap: even when you slip, slide, or stumble, you’re still moving forward."
30439,178895,smollm3-3b-it-gen-eng-literal-Uganda,ganda,bantu,Towakananga na musiru.,Usipuuze nguvu za watu wajinga wakiwa wengi.,leteral_translate,towakanang-a na musir-u,Luc,not to be denied and stupid,not to be It was denied. and stupid,Dont argue with a stupid person
16222,96151,kimi-k2-gen-eng-literal-Ethiopia,ganda,bantu,Oluliimi lwa mukabalo lukaawa.,Ulimi wa wake wenza ni mchungu.,leteral_translate,oluliim-i lwa mukabalo luka-aw-a,Luc,language of the sword beverage,language of the sword beverage,A bitter tongue brings bitterness.
22181,128849,gemini3-flasth-gen-eng-literal-Uganda,ganda,bantu,Embwa elina eggumba mu kamwa teluma.,Mbwa aliye na mfupa mdomoni hawezi kukuuma.,leteral_translate,emb-wa e-lin-a eggumb-a mu kamwa tel-um-a,Luc,dog it has bone inside mouth it doesn't hurt,dog it He has. bone inside mouth it does not hurt,A well fed dog doesnote bite
22238,128906,gemini3-flasth-gen-eng-literal-Uganda,ganda,bantu,Toyonoona muzinga olwokwokebwa ne njuki emu.,Hakuna haja ya mtu kuuharibu mzinga kwa sababu ya kuumwa na nyuki mmoja.,leteral_translate,toyonoon-a muzing-a olwokwokebw-a ne njuki emu,Luc,do no harm cannon for the burned with bee one,do no harm cannon for the burned with bee one,Don’t destroy the whole beehive because of one bee sting.
1985,12685,qwen3-4b-gen_eng_literal-Uganda,ganda,bantu,Okudizza guba mwoyo.,Kurudisha shukrani ni moyo.,leteral_translate,okudizz-a guba mwo-yo,Luc,to restore to be soul,to restore to be soul,To  give back comes from the heart
14347,84927,kimi-k2-gen-eng-literal-Uganda,ganda,bantu,"Omukulu watali, ebikere bibunduka.","Mkubwa akiwa hayuko, chura huruka ndani.",leteral_translate,omuk-ul-u watal-i ebik-er-e bibunduk-a,Luc,the elder there is no frogs small,the elder there is no frogs small,"When the elder is not around, everyone does as they please"
26300,152209,gpt-5-mini-gen-eng-literal-Uganda,ganda,bantu,Lubaale mbeera nga ne mbiro kwotadde.,Omba usaidizi kutoka kwa mizimu baada ya kuitumia nguvu zako zote.,leteral_translate,lubaal-e mbe-era nga ne mb-ir-o kwotadd-e,Luc,ant hill state when and diarrhea bask,ant hill state when and diarrhea bask,"God, come to my rescue, and come quickly."
14285,84865,kimi-k2-gen-eng-literal-Uganda,ganda,bantu,"Akwaagala, Akwaagula no bujama bwo.","Anayekupenda, hukupenda na uchafu wako.",leteral_translate,akwaag-al-a akwaagul-a no buj-am-a bwo,Luc,he kept on buying he kept on buying not dirt there,he kept on The purchase. he kept on The purchase. not dirt there,"The one who truly loves you accepts you, flaws and all."
