,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation
10893,64771,llama3.2-3b-gen_eng_literal-Uganda,runyoro,bantu,"Nkatia tungire omuntu ondi akumu swera, nukwo yaba omukazi wogu’ Amusija",Having not found another person to marry she became the wife of that person.,leteral_translate,nkati-a tungir-e omuntu ond-i akumu swer-a nukwo yaba omu-ka-zi wogu amusij-a,Luc,___.prs.hab.1.sg gets person another finger give in marriage then devine person their ___.prs
12720,78153,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Akabo kagya nzweri kagya totabarayo akandi.,The used basket to carry a gift to your neighbor will bring back another gift.,leteral_translate,akab-o kag-ya nzwer-i kag-ya totabarayo akand-i,Luc,they ___.prs.rec.3.sg ___.sg.n10 ___.prs.rec.3.sg ___.fut time
30517,178973,smollm3-3b-it-gen-eng-literal-Uganda,runyoro,bantu,"Omugurusi akagamba, omuntu atagumisiriza talinda ente, azizara","The old man says: “the person who is no patient will not take care of the cattle, he will slaughter them”",leteral_translate,omugurus-i a-kagamb-a omuntu atagumisiriz-a ta-lind-a ente azizar-a,Luc,the elder said person ___.fut ___.pst cow ___.prs
26343,152252,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,Ababingere nyokoromi ntibanga ruka ngu amanya kuiruka.,Those who pursued my uncle came back that means he knows to run.,leteral_translate,ababinger-e nyokorom-i ntibang-a ru-ka ngu aman-ya ku-iruk-a,Luc,___.prs.rec.3.pl ___.sg.n10 ___.sg.n10 inside he knows run
31843,187147,grok-4.1-fast-gen-eng-literal-Uganda,runyoro,bantu,Ebyara egatereine gageyamba akulya.,The fingers which are together helps each other to eat.,leteral_translate,eby-ar-a egaterein-e gageyamb-a a-ku-ly-a,Luc,___.sg.n14 ___.pst.rec.3.sg ___.sg.n1 eat
12734,78167,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,"Bakugonza oyanire, olefwa ninuka",People love you when you succeed but when you are poor you smell bad,leteral_translate,bakugonz-a oyan-ir-e olefw-a ninuk-a,Luc,they lovingly ___.pst.rec.2.sg ___.prs.hab.2.sg bad smell
31887,187191,grok-4.1-fast-gen-eng-literal-Uganda,runyoro,bantu,Omukazi owitekaniza akwzina tasereko ekifuba,A woman who is ready to dance does not hide her chest,leteral_translate,omu-ka-zi owitekaniz-a akwzin-a tasereko ekifub-a,Luc,the women ___.prs.hab.2.sg usually dances ___.v.pst.rec.1.pl chest
10878,64756,llama3.2-3b-gen_eng_literal-Uganda,runyoro,bantu,Empaka titerwa babiri,Discussion doesn’t work when two people speak at the same time,leteral_translate,emp-ak-a titerw-a babiri,Luc,with ___.prs usually their bodies
10915,64793,llama3.2-3b-gen_eng_literal-Uganda,runyoro,bantu,"Omumaiso bachura, omutima baseka","By seeing them, they cry but in their hearts they laugh",leteral_translate,omumaiso bachur-a omut-im-a bas-ek-a,Luc,in front of ___.prs heart laugh
17923,103199,kimi-k2-gen-eng-literal-Uganda,runyoro,bantu,Areire Kubi bamumanya mozinduka,The one who has spent a bad night with problems will wake up early.,leteral_translate,a-reir-e kub-i bamumany-a mozinduk-a,Luc,___ bad they usually know ___.sg.n1
38653,229095,minmax-gen-eng-literal-Uganda,runyoro,bantu,Tikisemire okweha obugambe,It is not good to appoint a newly enriched person as leader,leteral_translate,tikisemir-e okwe-ha obugamb-e,Luc,___.pst.prf.3.sg self ___.sg.n14
26417,152326,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,Omugurusi aetembya ebiro ebirungi ebya rabireho,Every old man speaks about good things he saw when he was young,leteral_translate,omugurus-i aetemby-a ebir-o ebirung-i eby-a rabireho,Luc,the elders ___.prs later things ___.pst.rec.3.sg
12780,78213,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Omojo agoya neise,The boy is like the father,leteral_translate,omojo ag-oy-a neis-e,Luc,___.n.sg.n1 paddle ___.pst.rec.1.sg
30460,178916,smollm3-3b-it-gen-eng-literal-Uganda,runyoro,bantu,Amagezi machande ba karanga nibanena,"Wisdom is like peanuts, you eat them one after another",leteral_translate,amagez-i machand-e ba kar-ang-a nibanen-a,Luc,help ___.pst.rec.2.pl become ___ ___.prs.hab.1.sg
