Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass
34509,202666,llama3.2-3b-it-gen-eng-literal-Kenya,kamba,bantu,Nzee ndĩsaa maanga ũtũinĩ,A porcupine does not eat on both riverbanks.,leteral_translate,nze-e nd-ĩs-aa ma-anga ũtũinĩ,Luc,self hour water in the community,self hour water in the community
17429,99966,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Weũ waya nzei.,The wilderness ate nothing.,leteral_translate,weũ wa-ya nze-i,Luc,its way health,its way health
29211,170178,smollm3-3b-it-gen-eng-literal-Kenya,kamba,bantu,Sya kũmwe nĩsyo syĩnzanĩaa maima.,Neighbouring animals dig holes for each other.,leteral_translate,sya kũmwe nĩ-syo syĩnzanĩa-a ma-ima,Luc,under some spiritually games pit,under some spiritually games pit
9155,54449,llama3.2-3b-gen_eng_literal-Kenya,kamba,bantu,Ĩkũya ĩngĩ nĩyo ĩ maumĩ.,The one that eats another is the one that roars.,leteral_translate,ĩkũy-a ĩngĩ nĩ-yo ĩ maumĩ,Luc,eat more the spoon cough,eat more the spoon cough
20794,120275,gemini3-flasth-gen-eng-literal-Tanzania,kamba,bantu,Kyetho kya yũlũ kĩtũaa,The heavenly spring is not permanent.,leteral_translate,kyetho kya yũlũ kĩtũa-a,Luc,the eye out above common,the eye out above common
17522,100059,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Nyamũ yĩ ngũlũ ĩmĩaa ĩũngeme,A proud animal defecates standing.,leteral_translate,nyamũ yĩ ngũlũ ĩmĩa-a ĩũngem-e,Luc,animals in rebellious acts breast standing,animals in rebellious acts breast standing
20971,120452,gemini3-flasth-gen-eng-literal-Tanzania,kamba,bantu,Mũsyĩmi ũte mũtae ndasyĩmaa mbusya.1,An untrained hunter does not hunt rhinoceros.,leteral_translate,mũsyĩm-i ũte mũta-e ndasyĩma-a mbu-sy-a 1,Luc,the hunter single a piece of cloth hunt rhinoceros,the a hunter single a piece of cloth hunt rhinoceros
6096,36296,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Anakavĩte ta ĩlaa ya mũutĩ.,She is beautiful like the flower of the mũutĩ tree.,leteral_translate,anakavĩt-e ta ĩl-aa ya mũutĩ,Luc,pass bow flower eat the stump,pass bow flower eat the stump
31272,184337,grok-4.1-fast-gen-eng-literal-Kenya,kamba,bantu,Vatakomwa vakomeawa nduka,Darkness leads to bedding down in unpleasant places.,leteral_translate,vatakomw-a vakomeaw-a ndu-ka,Luc,they will sleep being bullied shop,they will sleep being bullied shop
17301,99838,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Ĩlata ya mbua ti ĩlata ya sua.,Rain’s footprint is not the sun’s footprint.,leteral_translate,ĩl-at-a ya mbu-a ti ĩl-at-a ya sua,Luc,tim eat rain tree tin eat become full,tim eat rain tree tin eat become full
36489,215643,minmax-gen-eng-literal-Kenya,kamba,bantu,Mbua ndĩkĩlaw’a metho,No one can see beyond the rain,leteral_translate,mbu-a ndĩkĩlaw a metho,Luc,raibn not accepted get lost eyes,the rabbi not accepted get lost eyes
13937,81778,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Nzou yũate mbĩa nditalawa ngũmbaũ.,An elephant that kills a rat is not a hero.,leteral_translate,nzo-u yũ-at-e mb-ĩa nditalaw-a ngũmbaũ,Luc,elephant smoking rat health problems powerful,elephant smoking rat health problems powerful
18641,106725,gemini3-flasth-gen-eng-literal-Kenya,kamba,bantu,Kĩkoe kĩ mboka,Commelina africana is stew.,leteral_translate,kĩko-e kĩ mb-oka,Luc,a coat beer mboka,a coat beer a feast
17375,99912,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Ũthũku ũkaa na sua ndũkemene.,"Misfortune comes with the sun, don’t hate yourself.",leteral_translate,ũthũk-u ũka-a na sua ndũkemen-e,Luc,brass not sing become full not give up,brass not sing become full not give up
13973,81814,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Kũla ilĩkĩlaa nokw’o imilĩlaa mbya,Where they are mauled is where they twist horns.,leteral_translate,kũ-la ilĩkĩla-a nok-w o imilĩla-a mb-ya,Luc,in flowers not feeling guilty horn,in flowers not feeling guilty horn
34415,202572,llama3.2-3b-it-gen-eng-literal-Kenya,kamba,bantu,Mwaka ti mũng’ong’oo,The year is not long.,leteral_translate,mw-ak-a ti mũng ong oo,Luc,the year tree spine,the year tree spine
6268,36468,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Ndala ya ĩvũĩ ndyonaw’a maeo,A dove’s nest is not smiled upon.,leteral_translate,nd-ala ya ĩvũ-ĩ ndyonaw a ma-eo,Luc,hole eat dove not murdered get lost tooth,hole eat dove not murdered get lost tooth
17340,99877,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Vayĩ kalĩma katalĩsĩka,There is no hill that cannot be climbed,leteral_translate,vay-ĩ ka-lĩm-a katalĩsĩk-a,Luc,their mountain untreated,their mountain untreated
29082,170049,smollm3-3b-it-gen-eng-literal-Kenya,kamba,bantu,Mũtĩ wa wendo ndũkuawa na ngalĩ,The tree of love is not carried by vehicle.,leteral_translate,mũt-ĩ wa wend-o ndũkuaw-a na nga-lĩ,Luc,the tree sugar cane love not murdered sing car,the tree sugar cane love not murdered sing car
5284,31237,gemma3-4b-it-gen_eng_literal-Kenya,kamba,bantu,Ĩla ĩtulasya kĩmuu tiyo yosanasya.,The warthog that knocks the tree is not the one that gathers fruit.,leteral_translate,ĩla ĩtulasy-a kĩmu-u ti-yo yosanasy-a,Luc,when is not controversial the mosquito undefined consistent,when is not controversial the mosquito undefined consistent
