	experiment_config	language	language_family	african_proverb	label	Output Type	predict	morpheme_breaks
2522	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Agikuyu moi kuhitha ndia, matiui kuhitha uhoro	Material things can be concealed, but spoken secrets inevitably surface.	figurative_translate	People who are not careful with their words will eventually face consequences.	agikuy-u moi kuhith-a ndi-a mati-ui kuhith-a uhoro
2523	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ageni eri matiri utugire	Hospitality is strained when resources are divided.	figurative_translate	The underlying principle is that one should not rely on others for what they themselves can provide.	agen-i eri mat-ir-i utugir-e
2524	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ageni eri na karirui kao	People have differing tastes and preferences.	figurative_translate	A person who is dishonest will eventually be exposed.	agen-i eri na ka-riru-i kao
2525	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Aikaragia mbia ta njuu ngigi	Greed intensifies with possession; the more one has, the more one wants.	figurative_translate	The underlying principle is that a person's actions reflect their character.	aikaragi-a mb-ia ta nju-u ngigi
2526	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Aka eri ni nyungu igiri cia utugi	Polygamy breeds rivalry and conflict within a household.	figurative_translate	The underlying principle is that actions should be guided by wisdom and careful thought.	aka eri ni ny-ung-u ig-ir-i cia utug-i
2527	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Aka matiri cia ndiiro no cia nyiniko	Communication may be indirect rather than explicit.	figurative_translate	A person's actions reflect their character.	aka mat-ir-i cia ndi-iro no cia nyiniko
2528	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Aka na ng’ombe itiri ndugu	Valuable possessions attract rivalry, not friendship.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	aka na ng omb-e it-iri ndugu
2529	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Andu maiganaine magithii na magiceera	Status fades when people share the same hardship or journey.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	and-u ma-iganain-e magithi-i na magiceer-a
2530	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Andu matari ndundu mahuragwo na njuguma imwe	Disunity leads to vulnerability and defeat.	figurative_translate	The underlying principle is that a person should not rely on others for their own success.	and-u matari ndund-u ma-huragwo na njugum-a imwe
2531	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Andu matiui ngamini	People cannot keep secrets; what is known eventually becomes public.	figurative_translate	The underlying principle is that one should not take something for granted.	and-u mati-ui ngamin-i
2532	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Andu matiui ngu, moi ithendu	People avoid difficult tasks and choose what is easy.	figurative_translate	When a person is in trouble, others may help.	and-u mati-ui ngu moi ithend-u
2533	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Andu me muoyo matiagaga wira	As long as one lives, responsibilities and struggles continue.	figurative_translate	The underlying principle is that a person should not rely on others for their success or achievements.	and-u me mu-oyo mati-agag-a wir-a
2534	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Angimituiria na umirite ndangimiona rikii	You cannot recover what you lost from the one who caused the loss.	figurative_translate	The underlying principle is that one should not rely on others for what they themselves can provide.	angimituiri-a na umirit-e ndangimion-a riki-i
2535	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Arume mari rwamba	Men respond harshly when provoked; harm invites retaliation.	figurative_translate	The underlying principle is that one should not take what is not given.	arum-e mar-i rw-amb-a
2536	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Bata ndubatabataga	Human needs and troubles are endless.	figurative_translate	The principle of consistent action and perseverance.	bata ndubatabatag-a
